freqs-im:, 1, -0.1, 0.0, 0.0, -1.75142332663159e-8, -2.47462813819167e-6
freqs-im:, 2, -0.0900000000000001, 0.0, 0.0, -1.02000388635329e-10, -5.33940211307497e-10, 3.35626265785654e-11
freqs-im:, 3, -0.0800000000000001, 0.0, 0.0, -7.39931308999096e-11, -2.09663154142453e-9, 3.98615384276838e-11
freqs-im:, 4, -0.0700000000000001, 0.0, 0.0, -7.10288539367526e-11, -8.28825692025847e-10, 7.74966885781215e-11
freqs-im:, 5, -0.06, 0.0, 0.0, -8.68305563843849e-11, 5.12396688604515e-9, 3.49776200168441e-11
freqs-im:, 6, -0.05, 0.0, 0.0, -6.06977055413253e-11, -6.62804271583686e-10, 5.69785769332571e-11
freqs-im:, 7, -0.04, 0.0, 0.0, -5.43380097582007e-11, 1.31095396069254e-10, 6.89120180979875e-11
freqs-im:, 8, -0.03, 0.0, 0.0, -2.71505856375633e-6, 9.86240631730677e-7
freqs-im:, 9, -0.02, 0.0, 0.0, 6.2450120488466e-10, -4.91711350858282e-9, -5.25004266231702e-10
freqs-im:, 10, -0.01, 0.0, 0.0, -2.88377598158317e-5, -4.08905856734925e-5
freqs-im:, 11, -3.46944695195361e-17, 0.0, 0.0, -1.93501980569434e-6
freqs-im:, 12, 0.00999999999999997, 0.0, 0.0, -2.88377222363477e-5, -4.08905874213952e-5
freqs-im:, 13, 0.02, 0.0, 0.0, 6.24123779062496e-10, -5.44097348232365e-9, -5.20746563697768e-10
freqs-im:, 14, 0.03, 0.0, 0.0, -2.7155210858697e-6, 9.86551492029178e-7
freqs-im:, 15, 0.04, 0.0, 0.0, -4.88561470671728e-11, 2.16665887331724e-9, 6.1821501528186e-11
freqs-im:, 16, 0.05, 0.0, 0.0, -6.07542487356629e-11, -6.60471864817037e-10, 5.70096756901423e-11
freqs-im:, 17, 0.06, 0.0, 0.0, -8.5778146179771e-11, 5.42191559403837e-9, 3.43485769798471e-11
freqs-im:, 18, 0.07, 0.0, 0.0, -7.1450807524498e-11, -1.23164011533858e-9, 7.74203552657673e-11
freqs-im:, 19, 0.08, 0.0, 0.0, -7.39903037401928e-11, -2.09423693714357e-9, 3.98714334866927e-11
freqs-im:, 20, 0.09, 0.0, 0.0, -1.01993320736037e-10, -5.38400055761213e-10, 3.35696944778575e-11
freqs-im:, 21, 0.1, 0.0, 0.0, -1.81666215508455e-10, -5.87817488998876e-7, 2.88308093598994e-10
